frame,joint,x,y,z
0,0,0.0,0.0,0.0
0,1,-0.10106529,0.010484051,0.016769981
0,2,-0.16716033,0.437737,-0.14130752
0,3,0.009368541,0.56274796,0.20430544
0,4,0.105723284,-0.010499127,-0.010638772
0,5,0.03942707,0.26738533,-0.31362182
0,6,0.113823295,0.7007373,-0.2913528
0,7,0.07365543,-0.15702926,-0.09574661
0,8,0.17554614,-0.31635195,-0.26577914
0,9,0.1678862,-0.37550798,-0.37408286
0,10,0.17717683,-0.4740895,-0.29548174
0,11,0.29898083,-0.26543248,-0.20256527
0,12,0.31603387,-0.038964465,-0.07165513
0,13,0.4307806,0.15392694,-0.03697844
0,14,0.009902194,-0.31382877,-0.2903122
0,15,-0.032166705,-0.026300289,-0.2561321
0,16,-0.026860807,0.23673783,-0.26383632
1,0,0.0,0.0,0.0
1,1,-0.10188571,0.009348681,0.0118761845
1,2,-0.16389637,0.43305224,-0.15148053
1,3,0.003800791,0.5814307,0.19061229
1,4,0.10593699,-0.009928882,-0.002531536
1,5,0.06107246,0.29223683,-0.29228044
1,6,0.124638155,0.7290573,-0.2662027
1,7,0.07653364,-0.15636104,-0.10320404
1,8,0.18226983,-0.31301478,-0.2750898
1,9,0.1788325,-0.37203854,-0.3825361
1,10,0.1888278,-0.47147772,-0.30595016
1,11,0.30575472,-0.26739007,-0.20529948
1,12,0.3385327,-0.05399585,-0.0716078
1,13,0.46596062,0.12828973,-0.040990915
1,14,0.017951751,-0.31201378,-0.30538878
1,15,-0.039414756,-0.02976409,-0.26911917
1,16,-0.040435955,0.23267984,-0.2738402
2,0,0.0,0.0,0.0
2,1,-0.10334845,0.007811321,0.0044723107
2,2,-0.15851104,0.42597753,-0.16442634
2,3,-0.004950514,0.6065693,0.17409539
2,4,0.10599238,-0.009350998,0.0075260606
2,5,0.08820778,0.31739962,-0.26507577
2,6,0.13783677,0.75702703,-0.23906699
2,7,0.07961407,-0.15696889,-0.10873622
2,8,0.18992613,-0.31273073,-0.2784783
2,9,0.19123745,-0.37206048,-0.38465524
2,10,0.20177394,-0.47255695,-0.31007397
2,11,0.31389353,-0.27249393,-0.20274302
2,12,0.36652538,-0.07474071,-0.07389037
2,13,0.5091083,0.09475288,-0.046808053
2,14,0.026228486,-0.31277326,-0.31374294
2,15,-0.050451804,-0.037485816,-0.2747143
2,16,-0.06168841,0.22407095,-0.278436
3,0,0.0,0.0,0.0
3,1,-0.10544154,0.0071951095,-0.006554952
3,2,-0.15001912,0.42045784,-0.17322373
3,3,-0.018022506,0.63998127,0.15646216
3,4,0.10577582,-0.009021327,0.018006489
3,5,0.11920062,0.3408593,-0.22691987
3,6,0.15339029,0.7812101,-0.20549664
3,7,0.08238456,-0.15809698,-0.11381765
3,8,0.1963269,-0.31457072,-0.28110665
3,9,0.20275077,-0.3749067,-0.38500786
3,10,0.21317418,-0.47637483,-0.3119753
3,11,0.3224103,-0.27907795,-0.19996643
3,12,0.397819,-0.100894436,-0.08304738
3,13,0.55643404,0.055662945,-0.060929716
3,14,0.032692846,-0.3152061,-0.3212374
3,15,-0.06568506,-0.04942115,-0.27866295
3,16,-0.09086427,0.20924051,-0.2864268
4,0,0.0,0.0,0.0
4,1,-0.10712412,0.007147601,-0.017850235
4,2,-0.1374376,0.41798118,-0.17154413
4,3,-0.037969574,0.6782959,0.13675371
4,4,0.10491818,-0.008573705,0.027475953
4,5,0.15060249,0.35921806,-0.18805578
4,6,0.16841587,0.79749346,-0.16613421
4,7,0.0845703,-0.15872476,-0.118221596
4,8,0.20101357,-0.3172844,-0.2839703
4,9,0.21138564,-0.3789087,-0.3861745
4,10,0.22114813,-0.4806648,-0.31431118
4,11,0.3296787,-0.28504565,-0.20071992
4,12,0.43201825,-0.12968683,-0.093385056
4,13,0.60480297,0.014547667,-0.07719324
4,14,0.037255526,-0.31791222,-0.3271029
4,15,-0.08448057,-0.06495446,-0.27913857
4,16,-0.12835993,0.1892537,-0.2947043
5,0,0.0,0.0,0.0
5,1,-0.10796101,0.007007314,-0.02912401
5,2,-0.120886564,0.41734323,-0.16033928
5,3,-0.066332445,0.7177057,0.11692608
5,4,0.10346987,-0.008263892,0.036742214
5,5,0.18149832,0.37196386,-0.1533126
5,6,0.18147615,0.80446994,-0.1158446
5,7,0.08600744,-0.16034913,-0.11936934
5,8,0.20416197,-0.32305047,-0.2821377
5,9,0.21741962,-0.38752037,-0.38207096
5,10,0.22621863,-0.48909193,-0.31083745
5,11,0.33575353,-0.292652,-0.19951817
5,12,0.46579164,-0.16002446,-0.10140883
5,13,0.6491635,-0.02754402,-0.09685726
5,14,0.03986092,-0.32302725,-0.3260694
5,15,-0.10536736,-0.08531087,-0.2675118
5,16,-0.17341512,0.16093475,-0.29240254
6,0,0.0,0.0,0.0
6,1,-0.10800637,0.0066891797,-0.03930851
6,2,-0.10202525,0.41535532,-0.1516764
6,3,-0.10030772,0.74895316,0.08723302
6,4,0.102130674,-0.0075425934,0.04505567
6,5,0.20994675,0.3807721,-0.12222825
6,6,0.19065833,0.8011769,-0.051916014
6,7,0.08613561,-0.16330215,-0.11807079
6,8,0.20473517,-0.33111164,-0.27695584
6,9,0.21966815,-0.39868546,-0.37446836
6,10,0.2272426,-0.500228,-0.3038684
6,11,0.33842313,-0.30187222,-0.19607493
6,12,0.49228263,-0.18841487,-0.1117162
6,13,0.6844541,-0.06810911,-0.12250331
6,14,0.040073097,-0.3296323,-0.3214331
6,15,-0.12754646,-0.10895882,-0.25307822
6,16,-0.22140177,0.12470369,-0.2899325
7,0,0.0,0.0,0.0
7,1,-0.10725431,0.0060209166,-0.04698814
7,2,-0.084442824,0.40823805,-0.16074377
7,3,-0.13406512,0.7640455,0.04924868
7,4,0.10084906,-0.0062028095,0.051366527
7,5,0.23478833,0.38489717,-0.10189465
7,6,0.19632944,0.7865949,0.009408329
7,7,0.08470073,-0.16615312,-0.11729166
7,8,0.20212919,-0.33778524,-0.27441782
7,9,0.2181947,-0.40782654,-0.36996573
7,10,0.22448134,-0.50941825,-0.29902983
7,11,0.3372743,-0.3097504,-0.19390905
7,12,0.5084158,-0.21108925,-0.11913377
7,13,0.7076745,-0.102329835,-0.13968019
7,14,0.03844636,-0.33422944,-0.3178652
7,15,-0.1494228,-0.13160966,-0.24036574
7,16,-0.26710945,0.08692859,-0.2871348
8,0,0.0,0.0,0.0
8,1,-0.106329784,0.0055948477,-0.052889697
8,2,-0.069680795,0.39721948,-0.18945476
8,3,-0.16143122,0.7649728,0.0011727922
8,4,0.099843055,-0.005199438,0.05582952
8,5,0.25517333,0.38395467,-0.094226465
8,6,0.19958594,0.7660307,0.049320284
8,7,0.081788994,-0.16749611,-0.11793269
8,8,0.1973182,-0.3409903,-0.27593496
8,9,0.21380638,-0.41290337,-0.3696447
8,10,0.21910301,-0.5140134,-0.2976033
8,11,0.33331794,-0.313793,-0.19457775
8,12,0.5157678,-0.2253502,-0.12258072
8,13,0.7203109,-0.1259009,-0.14997295
8,14,0.034508012,-0.33614367,-0.31761682
8,15,-0.16931444,-0.15098271,-0.2343773
8,16,-0.30609685,0.052538183,-0.2902605
9,0,0.0,0.0,0.0
9,1,-0.105104394,0.005252151,-0.056886174
9,2,-0.0574321,0.3833906,-0.2224631
9,3,-0.18091351,0.7561327,-0.042677656
9,4,0.09914355,-0.0044412594,0.058784813
9,5,0.27295122,0.3794747,-0.094664745
9,6,0.20028651,0.7472319,0.0671169
9,7,0.079077125,-0.16791189,-0.11843506
9,8,0.1931881,-0.3421051,-0.27841374
9,9,0.20999897,-0.41484702,-0.37089556
9,10,0.21434484,-0.51522374,-0.29759037
9,11,0.32894918,-0.3148329,-0.19583969
9,12,0.5154519,-0.22958326,-0.11967954
9,13,0.7235708,-0.13658197,-0.15239723
9,14,0.03119057,-0.33656156,-0.3181217
9,15,-0.18507859,-0.16573256,-0.23208153
9,16,-0.3349598,0.026181232,-0.2942444
10,0,0.0,0.0,0.0
10,1,-0.104355484,0.004879562,-0.05995986
10,2,-0.047173068,0.36732978,-0.2560357
10,3,-0.19405843,0.7404656,-0.07965882
10,4,0.09864937,-0.004276652,0.06109026
10,5,0.28899157,0.37162316,-0.10036798
10,6,0.19896182,0.73151475,0.06714314
10,7,0.076093,-0.16687444,-0.12028363
10,8,0.18850392,-0.34008032,-0.2847066
10,9,0.205828,-0.41240174,-0.37645787
10,10,0.20951578,-0.5121106,-0.30175173
10,11,0.32395923,-0.31260067,-0.20044044
10,12,0.5088016,-0.22238381,-0.110302955
10,13,0.71654874,-0.13198674,-0.14883105
10,14,0.027212333,-0.3349358,-0.3216219
10,15,-0.19849157,-0.1733703,-0.23462601
10,16,-0.35437524,0.011623714,-0.30158162
11,0,0.0,0.0,0.0
11,1,-0.10398337,0.0041269828,-0.06116692
11,2,-0.038451526,0.34924203,-0.28531015
11,3,-0.20124587,0.7216023,-0.112045094
11,4,0.09855531,-0.0039426293,0.062610105
11,5,0.30346304,0.36146736,-0.10982601
11,6,0.19605117,0.7192926,0.053928845
11,7,0.07224575,-0.16453063,-0.12360774
11,8,0.1818675,-0.33571804,-0.2945413
11,9,0.19947532,-0.4058536,-0.38683224
